Kartennummer,Szenario (deutsch),Szenarien (englisch),Schlagwörter,Ableitung / Practice (de),Ableitung / Practice (en)
1,"In jeder Freund*innengruppe gibt es KI-Agents , die Treffen organisiert.",There are AI-Companions in each friend group to schedule gettogethers.,Tech-Support,Nimm dir jeden Tag Zeit für Verabredungen und Gespräche mit deinen Freund*innen.,Make time for dates and conversations with your friends – everyday.
2,"Menschen haben KI-Freund*innen, die sie „vererben“ können, sodass Menschen über Generationen emotional verbunden bleiben.","People have AI friends they can “pass on” to younger generations, allowing emotional bonds to persist across generations.","AI, Family",Erstelle gemeinsam mit Freund*innen Erinnerungsarchive – auch mit Blick auf ein digitales Nachleben.,Create shared memory archives with your friends – for your digital after life.
3,Freund*innengruppen bestehen aus einem Mix aus Menschen und Maschinen.,Friendship groups include both humans and AI systems.,Hybrid Friendship,"Entwickelt eine gemeinschaftliche KI-Begleitung, die ihr als Freund*innengruppe teilt.","Built a communal AI companion, who you share with your friends."
4,Beziehungen zu KI-Companions sind normal und als echte Form von Freund*innenschaft gesellschaftlich anerkannt.,Relationships with AI companions are normal and accepted as a real form of friendship.,Hybrid Friendship,Mach Inimität mit KI zum Politikum: Wem gehört sie? Wer profitiert davon?,"Politicize intimacy with AI: who owns it, who profits from it?"
5,"Ängstliche Menschen lernen, auf andere Menschen zuzugehen, indem sie dies mit KI üben.",Anxious people learn to approach other people with through practicing with AI.,Hybrid Friendship,"Schaffe niedrigschwellige soziale Räume, in denen über Unsicherheiten und Ängste gesprochen werden darf.",Create low-pressure social spaces where talking about insecurities and anxieties is welcomed.
6,"Technologie hilft dabei, Freundschaften aufrechtzuerhalten, indem sie Kommunikation und emotionale Balance steuert.",Technology helps maintain friendships by managing communication and emotional balance.,"Tech-Support, AI",Übe kollektive Konfliktlösung statt Probleme allein zu bewältigen.,Practice collective conflict resolution instead of private coping.
7,"Technologie hilft dabei, Freund*innenschaften aufrechtzuerhalten, indem sie Kommunikation und emotionale Balance steuert.",Friendships are supplemented by AI companions that are available 24/7 and can continue conversations endlessly.,"Tech-Support, AI","Sei präsenter für deine Freund*innen: Antworte auf Nachrichten, ruf an, melde dich regelmäßig.","Show up for your friends more! Text them back, call and check-in regularily."
8,"Einsamkeit wird durch technologische Companions gemildert – z.B. mit KI-Friends, digitale Haustiere, emotionale Dienstleiter","Loneliness is reduced through AI companions such as chatbots, digital pets, and emotional support services.","Tech-Support, AI",Lade alleinlebende Freund*innen zu Übernachtungen und gemeinsamen Abendessen ein.,Invite your single friends for sleepovers and dinners.
9,"Kinder wachsen in Mehr-Eltern-Konstellationen auf, in denen Freund*innen neben biologischen Eltern als Sorgeberechtigte anerkannt sind.",Children grow up in multi-parent families where friends are recognized as caregivers alongside biological parents.,Extended Family,Beziehe Freund*innen als Co-Eltern deiner (zukünftigen) Kinder ein. Wie möchten sie für sie da sein?,Make friends co-parents of your (future) children. How do they want to show up for them?
10,"Blutsverwandtschaft wird zweitrangig, während Wahlfamilien aus Freund*innen die wichtigste soziale und emotionale Basis bilden.",Chosen families of friends become more important than blood relations for emotional and social support.,Extended Family,Behandle Anlässe deiner Freund*innen wie familiäre Anlässe.,Think of your friends’ occasions like family occasions.
