Kartennummer,Szenario (deutsch),Szenarien (englisch),Schlagwörter,Ableitung / Practice ,Typ,Sub
1,Instatt Freund*innen übernehmen KI-Companions Care-Arbeit im Freundeskreis.,There are AI-Companions in each friend group to schedule gettogethers.,Tech-Support,Make time in your schedule for friends – for example with calendar entries.,Optimist,Techno-Libertarian
2,"Menschen haben KI-Freund*innen, die sie „vererben“ können, sodass Menschen über Generationen emotional verbunden bleiben.","People have AI friends they can “pass on” to younger generations, allowing emotional bonds to persist across generations.","AI, Family",Think about the memories and emotions you would like to pass on to younger generations – and what not.,Optimist,Techno-Libertarian
3,Freund*innengruppen bestehen aus einem Mix aus Menschen und Maschinen.,Friendship groups include both humans and AI systems.,Hybrid Friendship,Talk with your friends – would they welcome non-living entities like AI companions in the group?,Optimist,Techno-Libertarian
4,"Tiefe Freund*innenschaften mit KI-Companions sind normal, nicht als Ersatz, sondern als eigenständige Beziehungsform.",Relationships with AI companions are normal and accepted as a real form of friendship.,Hybrid Friendship,"Build your personal AI companion: Which character traits would it have? How would you ""use"" it?",Optimist,Techno-Libertarian
5,Ängstliche Menschen lernen mit Chatbots auf andere Menschen zuzugehen.,Anxious people learn to approach other people with through practicing with AI.,Hybrid Friendship,List social skills you would like to get better in. How can AI help you already?,Skeptiker,Techno-Libertarian
6,Technische Services übernehmen Kontaktpflege in Freund*innenschaften.,Technology helps maintain friendships by managing communication and emotional balance.,"Tech-Support, AI", ,Skeptiker,Techno-Libertarian
7,Menschen leben sozial unabhängig voneinander – sind aber technisch rundum abgesichert.,People live socially independent lives – but are fully secured through technology.,"AI, Technolgy",,Skeptiker,Techno-Libertarian
8,"Freund*innenschaften werden durch KI-Companions ergänzt, die 24/7 verfügbar sind und Gespräche endlos fortsetzen können.",Friendships are supplemented by AI companions that are available 24/7 and can continue conversations endlessly.,"Tech-Support, AI",,Techno-Libertarian,Optimist
9,"Einsamkeit wird durch technologische Companions gemildert – z.B. mit KI-Friends, digitale Haustiere, emotionale Dienstleiter","Loneliness is reduced through AI companions such as chatbots, digital pets, and emotional support services.","Tech-Support, AI",,Techno-Libertarian,Optimist
10,"Netzwerke werden technisch organisiert, nicht durch menschliches Engagement.",Networks are organized technologically rather than through human engagement.,"AI, Technolgy",,Techno-Libertarian,Skeptiker
11,KI-Assistenten analysieren emotionale Muster und unterstützen eine soziale Balance – wie ein emotionales Nervensystem.,AI assistants analyze emotional patterns and support social balance – like an emotional nervous system.,"Tech-Support, AI",,Techno-Libertarian,Optimist
12,"Menschen können technisch Erinnerungen generieren, auch solche, die nie stattgefunden haben – z.B. um negative Erinnerungen und Trauma zu überschreiben.",Technology allows people to create or modify memories to cope with trauma or emotional pain.,"Tech-Support, AI",,Techno-Libertarian,Optimist
13,Kinder wachsen in Mehr-Eltern-Konstellationen auf – in denen auch Freund*innen anerkannt werden.,Children grow up in multi-parent families where friends are recognized as caregivers alongside biological parents.,Extended Family,Aks your friends how they want to show up for you (future) kids and how much they want to be incluced.,Community-Builder,Post-Romantik
14,"Blutsverwandtschaft wird zweitrangig, während Wahlfamilien aus Freund*innen die wichtigste soziale und emotionale Basis bilden.",Chosen families of friends become more important than blood relations for emotional and social support.,Extended Family,Show up for your friends birthdays and other occasions just like family would.,Community-Builder,Post-Romantik
